id	execution_time_ms
1	17287.98567
2	16950.54833
3	16279.71667
4	300000
5	300000
6	300000
7	13249.155
8	12674.33
9	10993.54367
10	16543.246
11	16393.79
12	16598.17333
13	12230.075
14	11983.71433
15	12418.06933
16	5767.760667
17	5775.947667
18	5776.64
19	9455.743
20	9842.395667
21	9658.992
22	13186.93533
23	13112.457
24	12995.56533
25	15251.31133
26	14642.112
27	14302.136
28	11968.60967
29	11383.78633
30	11780.40433
31	1043.778333
32	1025.124
33	1024.471667
34	9921.892333
35	9830.224333
36	9946.559
37	4747.004
38	4572.201
39	4616.228667
40	6403.774667
41	6695.759667
42	6639.114667
43	1894.005
44	1874.255667
45	1854.809
46	300000
47	300000
48	300000
49	53518.83433
50	53441.86533
51	51972.00067
52	6733.982
53	6708.308
54	6687.497667
55	300000
56	300000
57	300000
58	300000
59	300000
60	300000
61	1483.198333
62	1532.276
63	1502.979333

