id,original_costs,rewrite_costs,costs_reduction_rate
1,1042208.45,1042208.45,0.000000
2,67537.39,67537.39,0.000000
3,1986738.87,1986655.08,0.000042
4,67537.39,79595.44,-0.178539
5,0.25,0.06,0.760000
6,5227707.77,1916937.73,0.633312
7,4903137.04,1307257.82,0.733383
8,983721.64,983721.64,0.000000
9,1307257.82,1307257.82,0.000000
10,957651.61,957651.61,0.000000
11,967588.11,967588.11,0.000000
12,959052.90,957334.96,0.001791
13,1002165.10,959980.41,0.042094
14,1002168.11,956558.59,0.045511
15,1089156.83,1089156.83,0.000000
16,0.95,205313.59,-216118.568421
17,1986738.87,1986738.87,0.000000
18,2899314.94,2899314.94,0.000000
19,2317756.91,2241126.29,0.033062
20,959978.51,948325.68,0.012139
21,2240050.95,746661.22,0.666677
22,1944145.59,995539.33,0.487930
23,958737.13,958737.13,0.000000
24,2225865.19,957083.21,0.570017
25,1912860.58,1912860.58,0.000000
26,960737.25,948333.23,0.012911
27,1726706.69,1726706.69,0.000000
28,948827.33,948814.99,0.000013
29,1003223.55,958807.01,0.044274
30,948329.32,948329.32,0.000000
31,948331.23,948331.23,0.000000
32,2361711.18,2361711.18,0.000000
33,958569.56,956565.71,0.002090
34,36049.55,35003.77,0.029010
35,3416742.45,3416742.45,0.000000
36,948327.85,948325.68,0.000002
37,2286926.32,746661.22,0.673509
38,2890026.42,951037.63,0.670924
39,1502292.20,948313.97,0.368755
40,3865437.72,1049090.61,0.728597
41,959978.85,959978.85,0.000000
42,1398583.71,1398583.71,0.000000
43,6743.44,6743.44,0.000000
44,67525.92,6743.44,0.900136
45,960737.25,960737.25,0.000000
46,2953992.47,2953992.47,0.000000
47,1697543.34,1307257.82,0.229912
48,9304800.02,9304800.02,0.000000
49,10720737.03,840102.99,0.921638
50,761860848.55,4054934.19,0.994678
51,72442.64,6743.44,0.906913
52,4428845.99,4428845.99,0.000000
53,23697953588291.74,1275953.79,1.000000
54,3759704.65,3759704.65,0.000000
55,3083663.29,3083663.29,0.000000
56,181586604945.38,181586604945.38,0.000000
57,6294575.13,6294575.13,0.000000
58,5254258.76,5254258.76,0.000000
