id,original_costs,rewrite_costs,costs_reduction_rate
1,292935.54,402100.43,-0.372658
2,285579.69,356781.10,-0.249322
3,251057.99,404056.52,-0.609415
4,56633.19,59442.35,-0.049603
5,56632.82,58392.65,-0.031074
6,56633.10,58339.78,-0.030136
7,50246.56,52193.88,-0.038755
8,36115.22,36115.22,0.000000
9,35912.55,35912.55,0.000000
10,856723.53,856723.53,0.000000
11,1228792.30,199558.18,0.837598
12,978521.86,978521.86,0.000000
13,200677.24,200677.24,0.000000
14,200667.44,200667.44,0.000000
15,200667.03,200667.03,0.000000
16,200677.22,184175.61,0.082230
17,200667.42,200667.42,0.000000
18,200667.00,200666.60,0.000002
19,1930846.47,1930846.47,0.000000
20,1926588.37,1915222.25,0.005900
21,1927358.87,1927358.87,0.000000
22,133120.00,133120.00,0.000000
23,133104.96,133104.96,0.000000
24,132987.01,132987.01,0.000000
25,133119.79,133119.79,0.000000
26,133104.76,133104.76,0.000000
27,132986.80,132986.80,0.000000
28,17003.60,17003.60,0.000000
29,15948.77,15948.77,0.000000
30,17210.08,17210.08,0.000000
31,17003.36,17003.36,0.000000
32,15948.54,15948.54,0.000000
33,17210.01,17210.01,0.000000
34,693461.10,459240.19,0.337756
35,615015.59,615015.59,0.000000
36,755831.30,755831.30,0.000000
37,18399.45,24306.33,-0.321036
38,18295.19,27139.34,-0.483414
39,18189.96,23204.29,-0.275665
40,18961.50,18961.50,0.000000
41,18961.95,28997.53,-0.529248
42,18961.50,18961.50,0.000000
43,84729.65,84729.65,0.000000
44,113209.36,113209.36,0.000000
45,113363.49,113363.49,0.000000
46,121926.54,121926.54,0.000000
47,159992.63,159992.63,0.000000
48,160147.63,160147.63,0.000000
49,42603.54,44116.64,-0.035516
50,42603.51,45614.86,-0.070683
51,42603.69,42912.99,-0.007260
52,627458.10,241116.91,0.615724
53,884537.19,884537.19,0.000000
54,672542.20,66247.83,0.901496
55,65055.13,57934.58,0.109454
56,63151.05,97297.69,-0.540714
57,65056.44,638795.78,-8.819101
58,546674.65,1460078.92,-1.670837
59,519578.27,1009294.78,-0.942527
60,527139.03,1087641.21,-1.063291
61,1609397.03,1599134.45,0.006377
62,1609402.87,1599138.03,0.006378
63,1595601.95,1595601.95,0.000000
64,1595607.02,1595586.46,0.000013
65,1583166.46,1578747.01,0.002792
66,1583168.95,1583161.20,0.000005
67,35207.14,35207.14,0.000000
68,37103.15,37103.15,0.000000
69,36766.13,36766.13,0.000000
70,35195.49,35195.49,0.000000
71,37103.07,37103.07,0.000000
72,36766.05,36766.05,0.000000
73,8735.19,8742.31,-0.000815
74,8842.29,8842.29,0.000000
75,8842.29,7005.65,0.207711
76,218380.41,867752.71,-2.973583
77,204934.07,204642.97,0.001420
78,201678.93,201408.54,0.001341
79,22836.78,24535.52,-0.074386
80,21475.69,23162.71,-0.078555
81,21353.59,23087.53,-0.081201
82,28725.63,65968.56,-1.296505
83,29954.87,93101.37,-2.108055
84,28736.75,34920.89,-0.215200
85,792055.75,792055.75,0.000000
86,792085.38,792085.38,0.000000
87,792118.27,844563.18,-0.066208
88,1353381.39,1353381.39,0.000000
89,617764.91,675980.74,-0.094236
90,599992.37,611546.97,-0.019258
91,224029.13,112102.40,0.499608
92,232397.46,122041.54,0.474859
93,233806.83,116970.97,0.499711
94,127325.45,321620.87,-1.525975
95,108703.76,278034.83,-1.557730
96,124316.35,2811874499.07,-22617.702199
97,145449.18,145450.02,-0.000006
98,148899.61,148896.46,0.000021
99,138422.80,138422.91,-0.000001
100,144537.58,144537.58,0.000000
101,147211.25,147211.25,0.000000
102,138418.62,138418.62,0.000000
103,509434.97,509434.97,0.000000
104,384740.80,384740.80,0.000000
105,262552.49,262552.49,0.000000
106,50642.66,89545.32,-0.768180
107,49247.41,87737.12,-0.781558
108,49205.23,49205.23,0.000000
109,2572038.74,74722.91,0.970948
110,2572038.25,74722.42,0.970948
111,2572035.87,74720.04,0.970949
112,139956.50,139956.50,0.000000
113,140974.13,136803.88,0.029582
114,139983.20,149368.71,-0.067047
115,24286.10,22778.22,0.062088
116,24286.10,24286.10,0.000000
117,24286.10,24286.10,0.000000
118,24272.49,24272.49,0.000000
119,24272.49,24272.49,0.000000
120,24272.49,24272.49,0.000000
121,84603.68,84603.68,0.000000
122,84604.26,84604.26,0.000000
123,84603.68,84603.68,0.000000
124,84603.45,62467.08,0.261649
125,84604.02,84604.02,0.000000
126,84603.45,84603.45,0.000000
127,507127.47,507126.19,0.000003
128,511977.99,511977.99,0.000000
129,536294.31,536294.31,0.000000
130,55669.40,55669.39,0.000000
131,55669.40,55669.39,0.000000
132,55657.69,55657.68,0.000000
133,55669.36,55669.36,0.000000
134,55669.36,55669.36,0.000000
135,55657.66,55657.66,0.000000
136,37663.21,29727.67,0.210697
137,39365.04,56448.48,-0.433975
138,38702.08,273760.42,-6.073532
139,186414.13,186321.96,0.000494
140,186141.38,410803.64,-1.206944
141,185617.52,185617.52,0.000000
142,7692.59,7692.59,0.000000
143,7521.57,7521.57,0.000000
144,7744.37,7744.37,0.000000
145,7692.53,7692.53,0.000000
146,7521.51,7521.50,0.000001
147,7744.30,7744.30,0.000000
148,283971.86,283971.86,0.000000
149,298104.27,298104.27,0.000000
150,297415.42,297415.42,0.000000
151,283492.42,787435.61,-1.777625
152,296816.96,296816.96,0.000000
153,295716.88,292641.18,0.010401
154,50246.58,68795.63,-0.369160
155,36115.28,36146.04,-0.000852
156,35912.62,35911.88,0.000021
