id,execution_time_s
1,1.153817
2,0.491736
3,1.663911
4,0.963810
5,0.914474
6,0.513394
7,2.106359
8,0.856062
11,0.250256
13,0.555548
16,2.267164
17,0.558789
18,0.558540
20,300.000000
21,7.082333
22,0.338299
23,0.276970
26,0.279541
27,0.322900
29,0.236479
30,0.254329
31,0.296253
32,0.233451
34,1.193657
35,1.615205
36,1.671398
37,0.682973
38,0.591136
39,0.673307
40,0.137848
41,0.190095
42,0.143104
43,0.113039
45,0.309660
46,0.005965
47,0.454733
49,0.049782
50,0.054990
51,0.072897
52,0.746858
54,0.093501
55,2.047770
56,1.136286
57,3.020782
58,1.674145
59,1.671430
60,2.058700
61,2.996936
62,2.151258
64,2.375765
65,1.987370
66,2.142057
68,0.210439
72,0.069664
73,0.260069
75,0.453732
76,0.941886
77,0.262385
78,0.286972
79,0.030048
80,0.022521
81,0.065909
82,0.168664
83,0.309297
84,0.175402
85,5.358740
87,3.579407
89,3.857752
90,1.358931
91,1.299262
92,0.631648
93,0.960222
94,0.670416
95,0.279343
96,0.076911
97,0.562586
98,0.592008
99,0.426285
102,0.412631
106,0.105731
107,0.156634
109,0.388481
110,0.741056
111,0.390084
113,0.036930
114,0.189080
115,0.135325
117,0.028561
118,0.028269
119,0.026838
122,0.436127
124,0.384105
125,0.428756
126,0.380854
127,0.866911
129,0.635816
130,0.093676
131,0.089508
132,0.085378
133,0.092264
134,0.088381
135,0.083017
136,1.781999
137,2.381371
138,1.000558
139,0.162769
140,0.275131
142,0.026028
143,0.052416
144,0.263050
145,0.024849
146,0.051880
147,0.264055
150,0.586989
151,1.329320
153,0.606120
154,3.338933
155,0.843207
156,0.819013
