id,execution_time_ms
1,16331.127000
2,16276.585667
3,16369.867667
4,2670.749667
5,7992.522333
6,226.486333
7,10682.687667
8,13799.466000
9,11132.200000
10,18188.285667
11,17764.728000
12,17610.127333
13,14242.254333
14,12594.968333
15,12026.600000
16,5706.687667
17,5435.513333
18,5564.938000
19,10270.372333
20,28176.816333
21,42265.553667
22,13041.342333
23,19457.834000
24,15169.635667
25,16616.140333
26,55768.537000
27,27379.942667
28,9553.622667
29,9513.835333
30,9209.064667
31,648.331333
32,552.374000
33,645.964333
34,8411.807333
35,8047.953333
36,8140.094667
37,3360.129333
38,3281.811000
39,3831.634000
40,5385.366333
41,5287.787000
42,5828.581000
43,1473.667000
44,1790.482333
45,1231.892333
46,5598.084333
47,5999.637000
48,42194.194333
49,25496.356333
50,26285.659667
51,24454.896000
52,18785.446000
53,18189.349333
54,18301.057333
55,23230.940333
56,25362.834667
57,25109.334667
58,76872.742333
59,40054.028667
60,58877.634667
61,1286.662333
62,1276.164000
63,1261.378333
总和	957592.7677
平均	15.20s

