id,original_costs,rewrite_costs,costs_reduction_rate
1,2299558.92,2299558.92,0.000000
2,2305286.95,2305286.95,0.000000
3,2300133.23,2300133.23,0.000000
4,2144126.76,502090.55,0.765830
5,2050176.64,500715.90,0.755769
6,2094238.51,196065.06,0.906379
7,2686225.02,2686225.02,0.000000
8,2686807.94,2667590.84,0.007152
9,2682285.16,2682285.16,0.000000
10,1459299.42,1459299.42,0.000000
11,1334942.71,1334942.71,0.000000
12,1403152.83,1403152.83,0.000000
13,2064383.48,2064383.01,0.000000
14,2064236.80,2064236.33,0.000000
15,2064236.80,2064236.80,0.000000
16,1690383.11,1690383.11,0.000000
17,1690315.96,1690315.96,0.000000
18,1690320.62,1690320.62,0.000000
19,1960664.30,1965090.60,-0.002258
20,1960664.30,1960664.30,0.000000
21,1960664.30,3819911.43,-0.948274
22,1927519.86,1927519.86,0.000000
23,1927519.86,1927519.86,0.000000
24,1927519.86,1927519.86,0.000000
25,2505247.70,2517939.72,-0.005066
26,2374336.32,2391951.54,-0.007419
27,2582944.84,2584841.94,-0.000734
28,2078618.83,2072757.34,0.002820
29,2088759.60,2081541.13,0.003456
30,2088625.58,2081426.69,0.003447
31,517677.49,299658.03,0.421149
32,517677.49,272891.11,0.472855
33,517677.49,299658.03,0.421149
34,2179805.05,2179805.05,0.000000
35,2179921.39,2179309.88,0.000281
36,2179405.97,2178811.85,0.000273
37,1509492.03,1129922.48,0.251455
38,1509492.03,1129922.48,0.251455
39,1498367.47,1498367.47,0.000000
40,1580703.62,1580703.62,0.000000
41,1580571.15,1580571.15,0.000000
42,1580856.94,1742258.37,-0.102097
43,383216.35,457613.87,-0.194140
44,379473.29,379473.29,0.000000
45,378498.95,444588.34,-0.174609
46,20680271.61,1504875.36,0.927231
47,20680263.09,1502914.25,0.927326
48,20680265.97,5725793.53,0.723128
49,6759683.74,4096518.44,0.393978
50,6759683.74,4096518.44,0.393978
51,6759683.74,4096518.44,0.393978
52,1953024.29,5055034.12,-1.588311
53,1953019.15,5055025.60,-1.588313
54,1953022.43,5055031.01,-1.588312
55,753301324845.43,3329783.24,0.999996
56,753301324845.43,3303007.70,0.999996
57,753301324845.43,3319282.20,0.999996
58,3087510.73,13373392.17,-3.331448
59,3087510.73,5836109.30,-0.890231
60,3087510.73,3087510.73,0.000000
61,558259.43,558259.43,0.000000
62,558259.43,558259.43,0.000000
63,558259.43,558259.44,-0.000000
