id,execution_time_s
2,16.569057
4,1.737997
5,3.821342
6,0.169495
8,9.106823
13,9.382057
14,9.006640
19,7.748411
20,7.754889
21,25.909869
22,11.155216
23,11.590848
24,10.983633
25,12.239566
26,11.864544
27,12.016817
28,9.561804
29,9.598736
30,9.865036
31,0.533025
32,0.456902
33,0.530027
34,9.082220
35,9.073641
36,9.046727
37,3.351592
38,2.928752
40,5.936892
41,5.814342
42,6.062424
43,1.421869
45,1.179941
46,5.520848
47,5.510752
48,37.497194
49,22.772214
50,23.561381
51,23.347304
52,22.171355
53,21.311000
54,21.284129
55,19.341061
56,20.536952
57,19.809730
58,78.913203
59,35.563460
63,1.214564
